"feature","importance"
"ENSBTAG00000025644-ENSBTAG00000011515",0
"ENSBTAG00000014583-ENSBTAG00000011515",0
"ENSBTAG00000010562-ENSBTAG00000011515",0
"ENSBTAG00000010452-ENSBTAG00000011515",0
"ENSBTAG00000014906-ENSBTAG00000011515",0
"ENSBTAG00000039355-ENSBTAG00000011515",0
"ENSBTAG00000025644-ENSBTAG00000010785",0
"ENSBTAG00000017745-ENSBTAG00000015361",0
"ENSBTAG00000009476-ENSBTAG00000013745",0
"ENSBTAG00000002006-ENSBTAG00000003585",0
"ENSBTAG00000014583-ENSBTAG00000012100",0
"ENSBTAG00000017246-ENSBTAG00000006161",0
"ENSBTAG00000021316-ENSBTAG00000019289",0
"ENSBTAG00000012849-ENSBTAG00000003585",0
"ENSBTAG00000009615-ENSBTAG00000013290",0
"ENSBTAG00000000575-ENSBTAG00000019289",0
"ENSBTAG00000009476-ENSBTAG00000015910",0
"ENSBTAG00000047567-ENSBTAG00000019866",0
"ENSBTAG00000021316-ENSBTAG00000003585",0
"ENSBTAG00000007737-ENSBTAG00000007909",0
"ENSBTAG00000030710-ENSBTAG00000013755",0
"ENSBTAG00000007740-ENSBTAG00000007909",0
"ENSBTAG00000021302-ENSBTAG00000019289",0
"ENSBTAG00000021048-ENSBTAG00000008483",0
"ENSBTAG00000025644-ENSBTAG00000012100",0
"ENSBTAG00000000575-ENSBTAG00000015296",0
"ENSBTAG00000013155-ENSBTAG00000019289",0
"ENSBTAG00000016177-ENSBTAG00000011628",0
"ENSBTAG00000032436-ENSBTAG00000007909",0
"ENSBTAG00000015978-ENSBTAG00000013290",0
"ENSBTAG00000017122-ENSBTAG00000019289",0
"ENSBTAG00000019269-ENSBTAG00000019289",0
"ENSBTAG00000007773-ENSBTAG00000010347",0
"ENSBTAG00000017246-ENSBTAG00000010444",0
"ENSBTAG00000019993-ENSBTAG00000027516",0
"ENSBTAG00000008300-ENSBTAG00000019289",0
"ENSBTAG00000011966-ENSBTAG00000019289",0
"ENSBTAG00000012849-ENSBTAG00000019289",0
"ENSBTAG00000032436-ENSBTAG00000006161",0
"ENSBTAG00000007148-ENSBTAG00000034848",0
"ENSBTAG00000010138-ENSBTAG00000019866",0
"ENSBTAG00000011757-ENSBTAG00000007909",0
"ENSBTAG00000014583-ENSBTAG00000012687",0
"ENSBTAG00000008026-ENSBTAG00000007175",0
"ENSBTAG00000011802-ENSBTAG00000019289",0
"ENSBTAG00000017746-ENSBTAG00000010462",0
"ENSBTAG00000003505-ENSBTAG00000006161",0
"ENSBTAG00000005198-ENSBTAG00000019866",0
"ENSBTAG00000003505-ENSBTAG00000011628",0
"ENSBTAG00000011412-ENSBTAG00000019289",0
"ENSBTAG00000006045-ENSBTAG00000011944",0
"ENSBTAG00000021466-ENSBTAG00000019289",0
"ENSBTAG00000013103-ENSBTAG00000019289",0
"ENSBTAG00000013201-ENSBTAG00000020319",0
"ENSBTAG00000005111-ENSBTAG00000018114",0
"ENSBTAG00000016542-ENSBTAG00000019289",0
"ENSBTAG00000014583-ENSBTAG00000020667",0
"ENSBTAG00000012829-ENSBTAG00000016933",0
"ENSBTAG00000040333-ENSBTAG00000013290",0
"ENSBTAG00000005710-ENSBTAG00000009851",0
"ENSBTAG00000005077-ENSBTAG00000015127",0
"ENSBTAG00000013472-ENSBTAG00000019289",0
"ENSBTAG00000001745-ENSBTAG00000019289",0
"ENSBTAG00000007773-ENSBTAG00000015910",0
"ENSBTAG00000021217-ENSBTAG00000019289",0
"ENSBTAG00000013363-ENSBTAG00000009851",0
"ENSBTAG00000005339-ENSBTAG00000019866",0
"ENSBTAG00000017246-ENSBTAG00000007909",0
"ENSBTAG00000019604-ENSBTAG00000009851",0
"ENSBTAG00000017473-ENSBTAG00000019289",0
"ENSBTAG00000014575-ENSBTAG00000019929",0
"ENSBTAG00000011808-ENSBTAG00000018105",0
"ENSBTAG00000005947-ENSBTAG00000015910",0
"ENSBTAG00000007737-ENSBTAG00000006161",0
"ENSBTAG00000016260-ENSBTAG00000011628",0
"ENSBTAG00000000793-ENSBTAG00000019289",0
"ENSBTAG00000010663-ENSBTAG00000013745",0
"ENSBTAG00000010361-ENSBTAG00000007909",0
"ENSBTAG00000011104-ENSBTAG00000017425",0
"ENSBTAG00000005339-ENSBTAG00000007213",0
"ENSBTAG00000017468-ENSBTAG00000013557",0
"ENSBTAG00000025644-ENSBTAG00000012687",0
"ENSBTAG00000011082-ENSBTAG00000012687",0
"ENSBTAG00000020638-ENSBTAG00000000782",0
"ENSBTAG00000019866-ENSBTAG00000009851",0
"ENSBTAG00000006276-ENSBTAG00000047138",0
"ENSBTAG00000017745-ENSBTAG00000016933",0
"ENSBTAG00000013718-ENSBTAG00000005072",0
"ENSBTAG00000017746-ENSBTAG00000009851",0
"ENSBTAG00000015509-ENSBTAG00000012687",0
"ENSBTAG00000002880-ENSBTAG00000012687",0
"ENSBTAG00000000575-ENSBTAG00000012119",0
"ENSBTAG00000015991-ENSBTAG00000021190",0
"ENSBTAG00000011851-ENSBTAG00000018572",0
"ENSBTAG00000015043-ENSBTAG00000007909",0
"ENSBTAG00000017122-ENSBTAG00000000782",0
"ENSBTAG00000005947-ENSBTAG00000018517",0
"ENSBTAG00000025868-ENSBTAG00000013755",0
"ENSBTAG00000007773-ENSBTAG00000003418",0
"ENSBTAG00000010312-ENSBTAG00000020199",0
