"feature","importance"
"ENSBTAG00000017866-ENSBTAG00000008008",0.0625
"ENSBTAG00000025257-ENSBTAG00000019428",0.03125
"ENSBTAG00000012228-ENSBTAG00000001814",0.03125
"ENSBTAG00000045582-ENSBTAG00000002144",0.03125
"ENSBTAG00000010738-ENSBTAG00000019428",0.03125
"ENSBTAG00000005250-ENSBTAG00000008008",0.03125
"ENSBTAG00000017664-ENSBTAG00000014357",0.03125
"ENSBTAG00000011010-ENSBTAG00000009757",0.03125
"ENSBTAG00000007740-ENSBTAG00000013320",0.03125
"ENSBTAG00000046421-ENSBTAG00000006240",0.03125
"ENSBTAG00000001292-ENSBTAG00000034385",0.03125
"ENSBTAG00000034077-ENSBTAG00000018999",0.03125
"ENSBTAG00000020645-ENSBTAG00000011628",0.03125
"ENSBTAG00000007338-ENSBTAG00000017593",0.03125
"ENSBTAG00000007740-ENSBTAG00000011154",0.03125
"ENSBTAG00000007319-ENSBTAG00000007909",0.03125
"ENSBTAG00000020221-ENSBTAG00000005092",0.03125
"ENSBTAG00000008237-ENSBTAG00000005273",0.03125
"ENSBTAG00000034077-ENSBTAG00000023731",0.03125
"ENSBTAG00000007740-ENSBTAG00000026676",0.03125
"ENSBTAG00000008237-ENSBTAG00000013205",0.03125
"ENSBTAG00000014113-ENSBTAG00000019428",0.03125
"ENSBTAG00000026779-ENSBTAG00000007103",0.03125
"ENSBTAG00000020645-ENSBTAG00000014600",0.03125
"ENSBTAG00000031998-ENSBTAG00000039292",0.03125
"ENSBTAG00000005250-ENSBTAG00000006240",0.03125
"ENSBTAG00000005850-ENSBTAG00000022799",0.03125
"ENSBTAG00000015978-ENSBTAG00000011628",0
"ENSBTAG00000045582-ENSBTAG00000012314",0
"ENSBTAG00000011563-ENSBTAG00000010497",0
"ENSBTAG00000021457-ENSBTAG00000023147",0
"ENSBTAG00000014556-ENSBTAG00000026676",0
"ENSBTAG00000013155-ENSBTAG00000010682",0
"ENSBTAG00000016542-ENSBTAG00000019569",0
"ENSBTAG00000017664-ENSBTAG00000011154",0
"ENSBTAG00000013155-ENSBTAG00000019289",0
"ENSBTAG00000016515-ENSBTAG00000000815",0
"ENSBTAG00000012228-ENSBTAG00000014966",0
"ENSBTAG00000006505-ENSBTAG00000006240",0
"ENSBTAG00000010673-ENSBTAG00000000815",0
"ENSBTAG00000025644-ENSBTAG00000010785",0
"ENSBTAG00000004362-ENSBTAG00000015996",0
"ENSBTAG00000015978-ENSBTAG00000013290",0
"ENSBTAG00000046421-ENSBTAG00000007213",0
"ENSBTAG00000011238-ENSBTAG00000017256",0
"ENSBTAG00000015362-ENSBTAG00000008997",0
"ENSBTAG00000010673-ENSBTAG00000006359",0
"ENSBTAG00000009478-ENSBTAG00000018035",0
"ENSBTAG00000017473-ENSBTAG00000018169",0
"ENSBTAG00000019267-ENSBTAG00000014357",0
"ENSBTAG00000025775-ENSBTAG00000016948",0
"ENSBTAG00000016515-ENSBTAG00000006359",0
"ENSBTAG00000016542-ENSBTAG00000018169",0
"ENSBTAG00000004777-ENSBTAG00000017753",0
"ENSBTAG00000011238-ENSBTAG00000002951",0
"ENSBTAG00000017664-ENSBTAG00000019712",0
"ENSBTAG00000025644-ENSBTAG00000010986",0
"ENSBTAG00000006295-ENSBTAG00000016948",0
"ENSBTAG00000017122-ENSBTAG00000011154",0
"ENSBTAG00000014737-ENSBTAG00000000782",0
"ENSBTAG00000004777-ENSBTAG00000014420",0
"ENSBTAG00000004362-ENSBTAG00000014357",0
"ENSBTAG00000009478-ENSBTAG00000018114",0
"ENSBTAG00000019267-ENSBTAG00000011578",0
"ENSBTAG00000013155-ENSBTAG00000008373",0
"ENSBTAG00000000073-ENSBTAG00000014611",0
"ENSBTAG00000012228-ENSBTAG00000010146",0
"ENSBTAG00000017473-ENSBTAG00000019289",0
"ENSBTAG00000034077-ENSBTAG00000017846",0
"ENSBTAG00000013155-ENSBTAG00000015910",0
"ENSBTAG00000010963-ENSBTAG00000000973",0
"ENSBTAG00000016542-ENSBTAG00000015910",0
"ENSBTAG00000017473-ENSBTAG00000015910",0
"ENSBTAG00000016800-ENSBTAG00000000782",0
"ENSBTAG00000017473-ENSBTAG00000017266",0
"ENSBTAG00000008300-ENSBTAG00000001462",0
"ENSBTAG00000009478-ENSBTAG00000000231",0
"ENSBTAG00000009478-ENSBTAG00000014354",0
"ENSBTAG00000005108-ENSBTAG00000015996",0
"ENSBTAG00000008300-ENSBTAG00000033669",0
"ENSBTAG00000016542-ENSBTAG00000019289",0
"ENSBTAG00000005108-ENSBTAG00000011154",0
"ENSBTAG00000014737-ENSBTAG00000015910",0
"ENSBTAG00000014737-ENSBTAG00000037649",0
"ENSBTAG00000000016-ENSBTAG00000004211",0
"ENSBTAG00000000559-ENSBTAG00000020661",0
"ENSBTAG00000009478-ENSBTAG00000006420",0
"ENSBTAG00000015978-ENSBTAG00000039292",0
"ENSBTAG00000017664-ENSBTAG00000011578",0
"ENSBTAG00000013066-ENSBTAG00000002402",0
"ENSBTAG00000020676-ENSBTAG00000011578",0
"ENSBTAG00000000016-ENSBTAG00000010497",0
"ENSBTAG00000016542-ENSBTAG00000017266",0
"ENSBTAG00000038735-ENSBTAG00000016948",0
"ENSBTAG00000016515-ENSBTAG00000015510",0
"ENSBTAG00000022120-ENSBTAG00000013745",0
"ENSBTAG00000003837-ENSBTAG00000011761",0
"ENSBTAG00000005108-ENSBTAG00000001060",0
"ENSBTAG00000014737-ENSBTAG00000000802",0
"ENSBTAG00000020221-ENSBTAG00000005903",0
"ENSBTAG00000013066-ENSBTAG00000021527",0
"ENSBTAG00000002317-ENSBTAG00000011154",0
"ENSBTAG00000014737-ENSBTAG00000001462",0
"ENSBTAG00000019993-ENSBTAG00000027516",0
"ENSBTAG00000010663-ENSBTAG00000013745",0
"ENSBTAG00000016800-ENSBTAG00000007338",0
"ENSBTAG00000004226-ENSBTAG00000026278",0
"ENSBTAG00000010738-ENSBTAG00000003220",0
"ENSBTAG00000017664-ENSBTAG00000015910",0
"ENSBTAG00000021333-ENSBTAG00000017801",0
"ENSBTAG00000018103-ENSBTAG00000011154",0
"ENSBTAG00000010123-ENSBTAG00000014269",0
"ENSBTAG00000009212-ENSBTAG00000012314",0
"ENSBTAG00000008300-ENSBTAG00000015910",0
"ENSBTAG00000001292-ENSBTAG00000032719",0
"ENSBTAG00000001321-ENSBTAG00000005273",0
"ENSBTAG00000010963-ENSBTAG00000009024",0
"ENSBTAG00000006295-ENSBTAG00000019903",0
